Fecha,Descripcion,Codigo,Tipo,Centro de Costos,Cantidad,Saldo,Obra Receptora
2025-01-23,KlK Mezcla Porcelanato x 30 Kg,AN-MzclaPc-Elect-Z1A,Ingreso,Pool 460/459,18,18,
2025-01-27,Kalop Conductor Unipolar 1;5MM Rojo,9JL-CU1.5-R-Elect-Z1A,Ingreso,Ribera,1,1,
2025-01-28,Bomba Presuarizadora Vasser Qc Press,Vlcno-BombaPresVass-Sant-Z2B,Ingreso,Pool 460/459,1,1,
2025-01-30,Rollo Manguera Azul 1(x35Mts),Vlcno-RMA1-Sant-Z2B,Ingreso,Don Alberto,1,1,
2025-01-30,Riel Embutir Magnetico Slim Negro Macroled 2 metros 48V RMS-E-2M,AN-REMSL248-Elect-Z1A,Ingreso,Don Alberto,2,2,
2025-01-30,Riel Embutir Magnetico Slim Negro Macroled 1 metros 48V RMS-E-1M,Vlcno-REMSL148-Sant-Z2B,Ingreso,Don Alberto,1,1,
2025-01-30,Riel Embutir Magnetico Slim Negro Microled 3 metros 48V RMS-E-3M,AN-REMSL348-Elect-Z1A,Ingreso,Don Alberto,7,7,
2025-01-30,Perfil Aluminio Embutir Per14x2Mts Tapa Opal p/Tira,Vlcno-PTL14TapaOpalp/Tira-Sant-Z2B,Ingreso,Don Alberto,16,16,
2025-01-30,Rollo Isolant,Vlcno-RollIsolant-Sant-Z2B,Ingreso,Ribera,1,1,
2025-01-30,Tapa de Gas Regularizada 40x50,Vlcno-TP40X50-Sant-Z2B,Ingreso,FlyDac,1,1,
2025-02-03,Caja de Piso Vinilico,AN-CpisoV-Sant-Z2B,Ingreso,Grandbell,1,1,
2025-02-10,Maquina Ingletadora,AN-MaqIngletadora-Crrln-Z3G,Ingreso,FlyDac,1,1,
